Child,Parent
non-stationary environment,concept drifts
concept drift,data stream
non-stationary environment,concept drift
continuous queries,data streams
continuous query,data streams
sliding windows,data streams
data stream mining,data streams
stream data,data streams
data stream processing,data streams
stream mining,data streams
multiple data streams,data streams
concept drifts,data streams
concept drift,data streams
ensemble techniques,ensemble learning
base learners,ensemble learning
random subspaces,ensemble learning
ensemble models,ensemble learning
ensemble algorithms,ensemble learning
ensemble classification,ensemble learning
ensemble techniques,ensemble methods
base learners,ensemble methods
random subspaces,ensemble methods
ensemble models,ensemble methods
ensemble algorithms,ensemble methods
ensemble classification,ensemble methods
weak learner,boosting
decision-tree algorithm,decision tree
decision tree classifiers,decision tree
decision tree classification,decision tree
naive bayes,decision tree
decision tree induction,decision tree
decision tree models,decision tree
classification rules,decision tree
decision tree learning,decision tree
ensemble classifiers,decision tree
ensemble classifier,decision tree
classifier ensembles,decision tree
classifier ensemble,decision tree
fuzzy decision trees,decision tree
fuzzy decision tree,decision tree
random forests,decision tree
random forest,decision tree
binary decision trees,decision tree
spatial queries,decision tree
spatial index,decision tree
spatial indices,decision tree
random subspaces,decision tree
evidential reasoning,dempster-shafer theory
dempster-shafer theory of evidence,dempster-shafer theory
combination rules,dempster-shafer theory
dempster,combination rules
transferable belief model,dempster-shafer theory
basic probability assignment,dempster-shafer theory
mass functions,dempster-shafer theory
fahp,fuzzy analytic hierarchy process
grey prediction model,grey system theory
background value,gm %281 %2C 1%29 model
grey prediction model,grey prediction
background value,gm %281 %2C 1%29
logic functions,many valued logics
multivalued logic,many valued logics
logic functions,many-valued logic
multivalued logic,many-valued logic
evaluation modeling,evaluation models
comprehensive evaluation model,evaluation models
fuzzy evaluation method,fuzzy evaluation
evaluation modeling,evaluation model
comprehensive evaluation model,evaluation model
technology mapping,logic synthesis
sugeno integrals,choquet integral
sugeno integral,choquet integral
non-additive measure,choquet integral
sugeno integrals,choquet integrals
sugeno integral,choquet integrals
non-additive measure,choquet integrals
intelligent control,artificial intelligence
control and automation,intelligent control
smart sensors,intelligent control
intelligent sensors,smart sensors
systems design,intelligent control
intelligent controllers,intelligent control
delay dependents,intelligent control
distributed parameter systems,intelligent control
distributed parameter,distributed parameter systems
distributed parameter system,intelligent control
distributed parameter,distributed parameter system
industrial automation system,industrial automation
pulse repetition rate,ultrashort pulses
high repetition rate,pulse repetition rate
passive mode locking,passively mode-locked
pico-second pulse,ultrashort pulses
pulse energies,ultrashort pulses
nonlinear absorptions,ultrashort pulses
ultrafast lasers,ultrashort pulses
ultrashort laser pulse,ultrafast lasers
femtosecond laser pulse,ultrafast lasers
femtosecond pulse,ultrafast lasers
transparent material,ultrafast lasers
glass lasers,ultrashort pulses
ti%3A sapphire laser,ultrashort pulses
femto-second laser,ultrashort pulses
transparent material,femto-second laser
femtosecond laser,ultrashort pulses
transparent material,femtosecond laser
femtoseconds,ultrashort pulses
fs pulse,femtoseconds
femtosecond pulse,femtoseconds
femtosecond,ultrashort pulses
fs pulse,femtosecond
femtosecond pulse,femtosecond
mode-locked,mode-locked fiber lasers
passively mode-locked,mode-locked
saturable absorbers,mode-locked fiber lasers
mode-locking,mode-locked fiber lasers
mode-locked laser,mode-locked fiber lasers
mode-locked lasers,mode-locked fiber lasers
pulse repetition rate,repetition rate
pulse energies,repetition rate
q switched lasers,repetition rate
q-switched,repetition rate
diode-pumped,repetition rate
fs pulse,repetition rate
q-switched,q switching
q switched lasers,q switching
saturable absorbers,q switching
diode-pumped,q switching
nd%3A yag,q switching
laser-induced damage,laser damage
laser induced damage thresholds,laser damage
optical coatings,laser damage
optical thin films,optical coatings
damage threshold,laser damage
fluences,laser damage
hafnium oxides,laser damage
laser induced,laser damage
hafnium compounds,laser damage
hfo,hafnium compounds
fluence,laser damage
damage mechanism,laser damage
fused-silica capillaries,fused silica
laser-induced damage,fused silica
argon lasers,gas lasers
excimer,gas lasers
excimers,gas lasers
high peak power,peak power
microwave signals,microwave photonics
wave theory,electromagnetic %28em%29
helical gears,spur gears
consensus protocols,consensus problems
switching topology,consensus problems
leader following,consensus problems
t-s fuzzy,takagi-sugeno
takagi-sugeno models,takagi-sugeno
t s models,takagi-sugeno models
leader-follower,formation control
data packet dropout,networked control systems %28ncss%29
sampling period,networked control systems %28ncss%29
sampled-data,sampling period
networked control system %28ncs%29,networked control systems %28ncss%29
networked systems,networked control systems %28ncss%29
random delay,networked control systems %28ncss%29
guaranteed cost controller,guaranteed cost
communication constraints,networked control systems %28ncss%29
guaranteed cost controller,networked control systems %28ncss%29
networked controls,networked control systems %28ncss%29
networked control,networked control systems %28ncss%29
network-induced delays,networked control systems %28ncss%29
network-induced delay,networked control systems %28ncss%29
packet dropouts,networked control systems %28ncss%29
packet dropout,networked control systems %28ncss%29
actuator failures,fault tolerant control
fault tolerant controllers,actuator failures
fault tolerant control systems,fault tolerant control
actuator failures,fault-tolerant control
fault tolerant control systems,fault-tolerant control
robust h control,robust h
filtering error,robust h
norm-bounded uncertainty,robust h
free-weighting matrices,delay-dependent
delay-dependent robust stability,free-weighting matrices
robust h,delay-dependent
delay dependent stability criterion,delay-dependent
