Child,Parent
Skin of right arm,Skin of arm
Surface of region of ureter,Surface of organ region
Grayson's ligament of left middle finger,Grayson's ligament of middle finger
Epithelium of crypt of Lieberkuhn of small intestine,Epithelium of gland of small intestine
Region of myocardium,Region of organ component
Lumen of trunk of segmental pulmonary artery,Lumen of arterial trunk
Lumen of trunk of left apical segmental artery,Lumen of trunk of apical segmental artery
Lumen of trunk of right apical segmental artery,Lumen of trunk of apical segmental artery
Right neurocentral junction of first lumbar vertebra,Neurocentral junction of first lumbar vertebra
Lumen of trunk of apical segmental artery,Lumen of trunk of segmental pulmonary artery
Lumen of trunk of apicoposterior segmental artery,Lumen of trunk of segmental pulmonary artery
Right inferior costal facet of body of fifth thoracic vertebra,Inferior costal facet of body of fifth thoracic vertebra
Trunk of tracheal branch of recurrent laryngeal nerve,Trunk of branch of recurrent laryngeal nerve
Hindbrain,Cardinal segment of brain
Surface of mid inferolateral zone of myocardium of left ventricle,Surface of mid zone of myocardium of left ventricle
Subdivision of medial surface of cuboid bone,Subdivision of surface of cuboid bone
Surface of left lamina of first thoracic vertebra,Surface of lamina of first thoracic vertebra
Multiform layer of Brodmann area 51,Lamina of brodmann area 51
Multiform layer of Brodmann area 52,Lamina of brodmann area 52
Multiform layer of Brodmann area 49,Lamina of brodmann area 49
Multiform layer of Brodmann area 50,Lamina of brodmann area 50
Plexiform layer of right Brodmann area 1,Plexiform layer of Brodmann area 1
Periosteum of left cuboid bone,Periosteum of cuboid bone
Dura mater of posterior root of right first thoracic nerve,Dura mater of posterior root of first thoracic nerve
Dura mater of posterior root of right fifth lumbar nerve,Dura mater of posterior root of fifth lumbar nerve
Dura mater of posterior root of left fifth lumbar nerve,Dura mater of posterior root of fifth lumbar nerve
Dura mater of posterior root of right fourth lumbar nerve,Dura mater of posterior root of fourth lumbar nerve
Dura mater of posterior root of left fourth lumbar nerve,Dura mater of posterior root of fourth lumbar nerve
Ligamentum flavum of C7-T1 vertebrae,Ligamentum flavum of cervical vertebrae
Trunk of femoral vein,Zone of trunk of common iliac vein
Proximal metaphysis of left first metacarpal bone,Proximal metaphysis of first metacarpal bone
Gluteus maximus part of left inferior gluteal artery,Gluteus maximus part of inferior gluteal artery
Articular capsule of right L2-L3 vertebral arch joint,Articular capsule of L2-L3 vertebral arch joint
Integument of left eye,Integument of eye
Integument of eye,Integument of subdivision of head
Integument of nose,Integument of subdivision of head
Integument of right eye,Integument of eye
Integument of mouth,Integument of subdivision of head
Trabecular bone of right posterolateral part of body of third thoracic vertebra,Trabecular bone of posterolateral part of body of third thoracic vertebra
Trunk of nerve to right subcostal muscle,Trunk of nerve to subcostal muscle
Trunk of nerve to left subcostal muscle,Trunk of nerve to subcostal muscle
Peripheral segment of right genitofemoral nerve,Peripheral segment of genitofemoral nerve
Peripheral segment of genitofemoral nerve,Peripheral segment of peripheral nerve
Peripheral segment of left genitofemoral nerve,Peripheral segment of genitofemoral nerve
Zone 13a of left diagonal artery,Zone of left diagonal artery
Perimysium of multifidus lumborum,Fascia of multifidus lumborum
Trunk of left inferior alveolar artery,Trunk of inferior alveolar artery
Brodmann area 31,Brodmann area
Perimysium of right nasalis,Perimysium of nasalis
Stroma of right inferior parathyroid gland,Stroma of inferior parathyroid gland
Longus colli,Prevertebral muscle
Ossification center of right fetal nasal bone,Ossification center of fetal nasal bone
Internal surface of seminal vesicle proper,Surface of seminal vesicle proper
Trunk of branch of superficial fibular nerve,Trunk of branch of common fibular nerve
Superior border of petrous part of right temporal bone,Superior border of petrous part of temporal bone
Superficial lymphatic vessel of ankle,Superficial lymphatic vessel of free lower limb
Diaphysis of right tibia,Diaphysis of tibia
Wall of lactiferous duct tree,Region of organ component
Embryonic stage,Developmental stage
Left retropubic space,Retropubic space
Posterior part of left iliac crest,Posterior part of iliac crest
Gray matter of left side of uvula of vermis of cerebellum,Gray matter of segment of cerebellum
Bone of lumbar vertebra,Bone of vertebra
Gray matter of right side of pyramis of vermis of cerebellum,Gray matter of segment of cerebellum
Gray matter of left side of pyramis of vermis of cerebellum,Gray matter of segment of cerebellum
Brodmann area 36 of uncus,Segment of Brodmann area 36
Gray matter of right side of uvula of vermis of cerebellum,Gray matter of segment of cerebellum
Right medial sural cutaneous nerve,Medial sural cutaneous nerve
Structural microtubule-associated protein,Microtubule-associated protein
