Child,Parent
Nutrient foramina of right pisiform,Nutrient foramina of pisiform
Stroma of ovarian medulla,Loose connective tissue
Left medial pericuneate nucleus,Medial pericuneate nucleus
Suprachoroid lamina of right eyeball,Suprachoroid lamina
Surface of arch of first thoracic vertebra,Surface of arch of thoracic vertebra
Plexiform layer of Brodmann area 1,Lamina of Brodmann area 1
Plexiform layer of Brodmann area 2,Lamina of Brodmann area 2
Plexiform layer of Brodmann area 7,Lamina of Brodmann area 7
Plexiform layer of Brodmann area 3,Lamina of Brodmann area 3
Dorsal branch of medial proper palmar digital branch of median nerve to middle finger,Dorsal branch of proper palmar digital branch of median nerve to middle finger
Segment of median nerve nucleus of dorsal column,Segment of median nerve nucleus of spinal cord
Trabecular bone of twelfth thoracic vertebral arch,Trabecular bone of thoracic vertebral arch
Dorsal branch of lateral proper palmar digital branch of median nerve to middle finger,Dorsal branch of proper palmar digital branch of median nerve to middle finger
Segment of median nerve nucleus of spinal cord,Segment of peripheral nerve nucleus
Segment of median nerve nucleus of ventral column,Segment of median nerve nucleus of spinal cord
Right superficial external pudendal vein,Superficial external pudendal vein
Fibrous membrane of articular capsule of interphalangeal joint of right little toe,Fibrous membrane of articular capsule of interphalangeal joint of little toe
Trunk proper of right pulmonary artery,Subdivision of trunk of right pulmonary artery
Articular capsule of metacarpophalangeal joint of right ring finger,Articular capsule of metacarpophalangeal joint of ring finger
Patellar part of vastus medialis,Zone of vastus medialis
Compact bone of eighth thoracic vertebral arch,Compact bone of thoracic vertebral arch
Perforating branch of right posterior interosseous artery,Perforating branch of posterior interosseous artery
Right recurrent interosseous artery,Recurrent interosseous artery
Left median artery,Median artery
Left recurrent interosseous artery,Recurrent interosseous artery
Perforating branch of left posterior interosseous artery,Perforating branch of posterior interosseous artery
C2 branch to right longissimus cervicis,C2 branch to longissimus cervicis
Palpebral conjunctiva,Region of conjunctiva
Trabecular bone of posterolateral part of body of sixth cervical vertebra,Trabecular bone of body of sixth cervical vertebra
C4 segment of right dorsal funiculus of spinal cord,C4 segment of dorsal funiculus of spinal cord
C3 segment of left dorsal funiculus of spinal cord,C3 segment of dorsal funiculus of spinal cord
C4 segment of left dorsal funiculus of spinal cord,C4 segment of dorsal funiculus of spinal cord
C4 segment of dorsal funiculus of spinal cord,Cervical subsegment of dorsal funiculus of spinal cord
C3 segment of right dorsal funiculus of spinal cord,C3 segment of dorsal funiculus of spinal cord
Set of lumbricals of hand,Musculature of subdivision of free upper limb
Portion of tissue fluid proper,Portion of tissue fluid
Medial tributary of dorsal tributary of right eleventh posterior intercostal vein,Medial tributary of dorsal tributary of eleventh posterior intercostal vein
Right marginal venous tree,Cardiac venous tree
Perimysium of right extensor digitorum,Perimysium of extensor digitorum
Internal carotid venous plexus,Venous plexus
Compact bone of right lamina of eighth thoracic vertebra,Compact bone of lamina of eighth thoracic vertebra
Enamel layer of right first lower premolar tooth,Enamel layer of first lower premolar tooth
Enamel layer of left second upper premolar tooth,Enamel layer of second upper premolar tooth
Enamel layer of first lower premolar tooth,Enamel layer of lower premolar tooth
Enamel layer of left first lower premolar tooth,Enamel layer of first lower premolar tooth
Enamel layer of right second upper premolar tooth,Enamel layer of second upper premolar tooth
Set of laryngeal cartilages and joints,Set of heterogeneous anatomical structures
Anteromedial surface of shaft of left ulna,Anteromedial surface of shaft of ulna
Periosteum of distal epiphysis of right radius,Periosteum of distal epiphysis of radius
Distal phalanx of right index finger,Distal phalanx of index finger
Short vinculum of tendon of flexor digitorum superficialis,Vinculum of tendon of flexor digitorum superficialis
Oblique muscle of left auricle,Oblique muscle of auricle
Longitudinal muscle layer of duodenum,Longitudinal muscle layer of zone of small intestine
Proximal epiphysis of distal phalanx of left big toe,Proximal epiphysis of distal phalanx of big toe
Compact bone of left superior articular process of vertebra,Compact bone of superior articular process of vertebra
Trabecular bone of right pedicle of eighth thoracic vertebra,Trabecular bone of pedicle of eighth thoracic vertebra
C6 ventral column nucleus of left suprascapular nerve,C6 ventral column nucleus of suprascapular nerve
C6 ventral column nucleus of suprascapular nerve,Segment of suprascapular nerve nucleus of ventral column
C5 ventral column nucleus of right suprascapular nerve,C5 ventral column nucleus of suprascapular nerve
C5 ventral column nucleus of left suprascapular nerve,C5 ventral column nucleus of suprascapular nerve
C6 ventral column nucleus of right suprascapular nerve,C6 ventral column nucleus of suprascapular nerve
Supraspinatus branch of left suprascapular artery,Supraspinatus branch of suprascapular artery
Vasculature of right first metacarpal bone,Vasculature of first metacarpal bone
Vasculature of left second metacarpal bone,Vasculature of second metacarpal bone
Vasculature of right second metacarpal bone,Vasculature of second metacarpal bone
Vasculature of left first metacarpal bone,Vasculature of first metacarpal bone
Vasculature of right third metacarpal bone,Vasculature of third metacarpal bone
Mucous acinus of sublingual gland,Mucous acinus of salivary gland
Set of rootlets of third sacral nerve,Set of rootlets of sacral nerve
Eyelash,Hair of head
Space of anterior compartment of left forearm,Space of anterior compartment of forearm
Left central lateral nucleus,Central lateral nucleus
Left olecranon fossa,Olecranon fossa
Medial lacunar lymphatic vessel,External iliac lymphatic vessel
Medial  external iliac lymphatic vessel,External iliac lymphatic vessel
Lateral external iliac lymphatic vessel,External iliac lymphatic vessel
Promontory lymphatic vessel,Common iliac lymphatic vessel
Intermediate external iliac lymphatic vessel,External iliac lymphatic vessel
Left second common palmar digital vein,Second common palmar digital vein
Lateral part of dorsal digital artery of right third toe,Lateral part of dorsal digital artery of third toe
Superficial cortex proper of right lens,Superficial cortex proper of lens
Fibrous membrane of articular capsule of right vertebral arch joint,Fibrous membrane of articular capsule of vertebral arch joint
Superficial cortex proper of lens,Zone of superficial cortex of lens
Anterior polar region of superficial cortex of left lens,Polar region of superficial cortex of anterior lens
Superficial cortex proper of left lens,Superficial cortex proper of lens
Anterior polar region of superficial cortex of right lens,Polar region of superficial cortex of anterior lens
Posterior branch of left axillary nerve,Posterior branch of axillary nerve
Compact bone of pedicle of axis,Compact bone of arch of axis
Long vinculum of tendon of right flexor digitorum profundus to right middle finger,Long vinculum of tendon of flexor digitorum profundus to middle finger
Posterior border of left clavicle,Posterior border of clavicle
Set of left apical segmental bronchus lymphatic vessels,Set of apical segmental bronchus lymphatic vessels
Set of right apical segmental bronchus lymphatic vessels,Set of apical segmental bronchus lymphatic vessels
Set of left posterior segmental bronchus lymphatic vessels,Set of posterior segmental bronchus lymphatic vessels
Set of right posterior segmental bronchus lymphatic vessels,Set of posterior segmental bronchus lymphatic vessels
Pars posterior of arch of left pulmonary artery,Subdivision of arch of left pulmonary artery
Hard palate,Organ region cluster
Incisal surface of lower canine tooth,Region of surface of lower canine tooth
Compact bone of left superior articular process of fifth lumbar vertebra,Compact bone of superior articular process of fifth lumbar vertebra
Incisal surface of left lower canine tooth,Incisal surface of lower canine tooth
Incisal surface layer of incisor tooth,Incisal surface layer of tooth
Incisal surface of right lower canine tooth,Incisal surface of lower canine tooth
Incisal surface layer of canine tooth,Incisal surface layer of tooth
Perforating vein of left upper limb,Perforating vein of upper limb
Trabecular bone of proximal metaphysis of left first metacarpal bone,Trabecular bone of proximal metaphysis of first metacarpal bone
Periosteum of left lamina of eleventh thoracic vertebra,Periosteum of lamina of eleventh thoracic vertebra
Set of posterior rootlets of eleventh thoracic spinal nerve,Set of posterior rootlets of thoracic spinal nerve
Set of posterior rootlets of tenth thoracic spinal nerve,Set of posterior rootlets of thoracic spinal nerve
Set of posterior rootlets of twelfth thoracic spinal nerve,Set of posterior rootlets of thoracic spinal nerve
Right lateral part of neck,Lateral part of neck
Muscular branch of right second posterior intercostal artery,Muscular branch of second posterior intercostal artery
Anterior rootlet of right second thoracic nerve,Anterior rootlet of second thoracic nerve
Ventral surface of body of penis,Subdivision of surface of penis
Set of projection fibers,Set of white matter structures of neuraxis
Set of all white matter structures of neuraxis,Set of white matter structures of neuraxis
Fibrous membrane of articular capsule of right T5-T6 vertebral arch joint,Fibrous membrane of articular capsule of T5-T6 vertebral arch joint
Capillary network of urinary bladder,Systemic capillary network of organ
Capillary network of thyroid gland,Systemic capillary network of organ
Capillary network of thymus,Systemic capillary network of organ
Capillary network of ureter,Systemic capillary network of organ
Capillary network of gallbladder,Systemic capillary network of organ
Articular surface of proximal part of scaphoid,Articular surface of scaphoid
Nail bed of thumb,Nail bed of finger
Nerve to levator anguli oris,Branch of upper deep buccal branch of facial nerve
Right patellofemoral joint,Patellofemoral joint
Muscle fasciculus of palmaris longus,Muscle fasciculus of muscle of forearm
Left first proximal perforating artery,First proximal perforating artery
Periosteum of distal epiphysis of proximal phalanx of right thumb,Periosteum of distal epiphysis of proximal phalanx of thumb
Postcommunicating part of right posterior cerebral artery,Postcommunicating part of posterior cerebral artery
Bony part of sternal end of clavicle,Region of bony part of clavicle
Right superior subscapular nerve,Superior subscapular nerve
Trunk of right lower lobar bronchial artery,Trunk of lower lobar bronchial artery
Proximal tendon of left incisivus labii inferioris,Proximal tendon of incisivus labii inferioris
Superficial distal tendon of right incisivus labii inferioris,Superficial distal tendon of incisivus labii inferioris
Distal tendon of incisivus labii inferioris,Tendon of incisivus labii inferioris
Superficial distal tendon of left incisivus labii inferioris,Superficial distal tendon of incisivus labii inferioris
Superficial distal tendon of incisivus labii inferioris,Distal tendon of incisivus labii inferioris
Lower lobe part of bronchial tree,Lobar bronchial tree
Inframesocolic space,Subdivision of peritoneal cavity
Lumen of ampulla of uterine tube,Lumen of zone of uterine tube
Right medial dorsal cutaneous nerve,Medial dorsal cutaneous nerve
Trabecular bone of articular process of third cervical vertebra,Trabecular bone of third cervical vertebra
External part of filum terminale,Segment of filum terminale
Internal part of filum terminale,Segment of filum terminale
Segment of filum terminale,Segment of spinal pia mater
Plantar digital artery of right fourth toe,Plantar digital artery of fourth toe
Esophageal branch of left bronchial artery,Branch of left bronchial artery
Renal artery,Systemic artery
Cartilage of medial part of scapula,Cartilage of body of scapula
Radial nerve component of trunk of anterior ramus of left eighth cervical nerve,Radial nerve component of trunk of anterior ramus of eighth cervical nerve
Radial nerve component of inferior trunk segment of right eighth cervical nerve,Radial nerve component of inferior trunk segment of eighth cervical nerve
Radial nerve component of inferior trunk segment of eighth cervical nerve,Segment of C8 root of radial nerve
White matter structure of midbrain tegmentum,White matter of neuraxis
Muscle of fetal face,Muscle of fetal head
Right medial tarsal artery,Medial tarsal artery
Left superior pulmonary vein part of pericardial sac,Superior pulmonary vein segment of pericardial sac
Superficial fascia of dorsal part of middle finger,Superficial fascia of dorsal part of finger
Deep layer of proximal nail fold of right big toe,Deep layer of proximal nail fold of big toe
Dorsal surface of left fifth toe,Dorsal surface of fifth toe
Set of parieto-occipital branches of pericallosal artery,Set of arteries
Purine,Biological macromolecule
Dorsal tributary of left third lumbar vein,Dorsal tributary of third lumbar vein
Capsule of interchondral joint of right 8th and 9th ribs,Capsule of interchondral joint of 8th and 9th ribs
Lumen of ureter,Organ cavity
Attached_to relation,Connected_to relation
Placental attachment area of umbilical cord,Extra-embryonic structure
Nitabuch's layer,Extra-embryonic structure
Allantois,Extra-embryonic structure
Placental cotyledon,Extra-embryonic structure
Wharton's jelly,Portion of solid body substance
Set of amniotic villi,Set of developmental entities
Maternal surface of placenta,Surface layer of extra-embryonic structure
Placental membrane,Extra-embryonic structure
Coiled artery of decidua basalis,Extra-embryonic structure
Marginal venous sinus of placental attachment,Developmental space
Right pulmopleural compartment,Pulmopleural compartment
Trunk of temporal branch of lacrimal artery,Trunk of branch of lacrimal artery
Set of deep anterior cervical lymph nodes,Lymph node group of neck
Branch of inferior gluteal nerve,Branch of peripheral nerve
Subdivision of muscle layer of urinary bladder,Subdivision of muscle layer
Nerve to right depressor labii inferioris,Nerve to depressor labii inferioris
Shell region of gracile nucleus,Subdivision of gracile nucleus
Ectocervix,Segment of cervix
Alar branch of right superior labial artery,Alar branch of superior labial artery
Surface of epiphysis of right femur,Surface of epiphysis of femur
Fibrocartilage of fifth metacarpal bone,Fibrocartilage of metacarpal bone
Lateral surface of right leg,Lateral surface of leg
Surface of distal phalanx of right index finger,Surface of distal phalanx of index finger
Surface of right adductor longus,Surface of adductor longus
Branch of left anterior choroidal artery to left red nucleus,Branch of anterior choroidal artery to red nucleus
Ansa subclavia,Branch of middle cervical ganglion
Gray communicating ramus to first cervical spinal nerve,Lateral branch of superior cervical ganglion
Gray communicating ramus to second cervical spinal nerve,Lateral branch of superior cervical ganglion
Gray communicating ramus to third cervical spinal nerve,Lateral branch of superior cervical ganglion
Branch of cervicothoracic ganglion,Branch of paravertebral ganglion
Inferior cardiac nerve,Medial branch of cervicothoracic ganglion
Gray communicating ramus to fourth cervical spinal nerve,Lateral branch of superior cervical ganglion
Vertebral nerve,Lateral branch of cervicothoracic ganglion
Lingual surface layer of second upper premolar tooth,Lingual surface layer of upper premolar tooth
Lingual surface layer of left lower lateral incisor tooth,Lingual surface layer of lower lateral incisor tooth
Right anterior cingulate gyrus,Anterior cingulate gyrus
Posterior part of anterior segmental artery,Subsegmental part of anterior segmental artery
Orifice of major duodenal papilla,Orifice of duodenum
Lateral costotransverse ligament of right fourth costotransverse joint,Lateral costotransverse ligament of fourth costotransverse joint
Muscle fasciculus of right depressor anguli oris,Muscle fasciculus of depressor anguli oris
Set of atrioventricular branches of right coronary artery,Set of arteries
Mandibular notch,Anatomical border of mandible
Bony part of distal epiphysis of distal phalanx of ring finger,Bony part of distal epiphysis of phalanx of ring finger
Trunk of branch to right greater occipital nerve,Trunk of branch to greater occipital nerve
Dentine of upper central secondary incisor tooth,Dentin of tooth
Mandible,Irregular bone
Nerve to right seventh levator costae,Nerve to seventh levator costae
Right plantaris,Plantaris
Bony part of right eighth rib,Bony part of eighth rib
Bony part of right ninth rib,Bony part of ninth rib
Bony part of left ninth rib,Bony part of ninth rib
Bony part of left eighth rib,Bony part of eighth rib
Bony part of left seventh rib,Bony part of seventh rib
Trunk of petrous part of left internal carotid artery,Trunk of petrous part of internal carotid artery
Set of left semispinalis muscles,Set of semispinalis muscles
Cuboidal cell,Cell shape type
Anteromedial surface of diaphysis of left first metacarpal bone,Anteromedial surface of diaphysis of first metacarpal bone
Periosteum of posterolateral part of body of cervical vertebra,Periosteum of body of cervical vertebra
Right fetal temporalis,Fetal temporalis
Short vinculum of tendon of right flexor digitorum profundus to right ring finger,Short vinculum of tendon of flexor digitorum profundus to ring finger
L2 branch to right iliocostalis lumborum,L2 branch to iliocostalis lumborum
Mamillary process of fourth lumbar vertebra,Mamillary process of lumbar vertebra
Nerve to left gluteus maximus (n),Nerve to gluteus maximus (n)
Left caudal pontine reticular nucleus,Caudal pontine reticular nucleus
Middle phalanx of middle finger,Phalanx of middle finger
Zone of levator ani,Zone of muscle organ
Articular facet of left inferior articular process of fourth thoracic vertebra,Articular facet of inferior articular process of fourth thoracic vertebra
Capsule of red nucleus,White matter of midbrain
Cartilage of inferior surface of right posterolateral part of body of first lumbar vertebra,Cartilage of inferior surface of posterolateral part of body of first lumbar vertebra
Trunk of pleural tributary of seventh posterior intercostal vein,Trunk of pleural tributary of posterior intercostal vein
Trunk of pleural tributary of fourth posterior intercostal vein,Trunk of pleural tributary of posterior intercostal vein
Trunk of pleural tributary of eighth posterior intercostal vein,Trunk of pleural tributary of posterior intercostal vein
Trunk of pleural tributary of fifth posterior intercostal vein,Trunk of pleural tributary of posterior intercostal vein
Trunk of pleural tributary of sixth posterior intercostal vein,Trunk of pleural tributary of posterior intercostal vein
Groove of occipital bone for sigmoid sinus,Subdivision of surface of occipital bone
Right set of upper limb hairs,Set of upper limb hairs
Wall of medial subsegmental bronchus,Wall of subsegmental bronchus
Lamina propria of small intestine,Lamina propria
Medial branch of posterior ramus of right third thoracic nerve,Medial branch of posterior ramus of third thoracic nerve
Wall of right inferior lobar bronchus,Wall of inferior lobar bronchus
Reticular membrane of spiral organ,Membrane organ component
Trunk of branch of anterior ciliary artery to minor circulus arteriosus of iris,Trunk of branch of anterior ciliary artery
Internal surface of frontal bone,Subdivision of surface of frontal bone
Temporozygomatic suture,Suture
Right superior vestibular nucleus,Superior vestibular nucleus
Filamentous nuclear body,Nuclear body
Right osseous external acoustic tube,Osseous external acoustic tube
Set of tendinous sheaths of upper limb,Set of tendon sheaths
Wall of trunk of branch of superior mesenteric artery,Wall of trunk of artery
Posterior surface of duodenum,Subdivision of external surface of duodenum
Epimysium of right gluteus maximus,Epimysium of gluteus maximus
Rugal fold of vagina,Zone of vagina
Sacral segment of epidural space,Subdivision of spinal epidural space
Trabecular bone of left inferior articular process of seventh cervical vertebra,Trabecular bone of inferior articular process of seventh cervical vertebra
Subdivision of back,Subdivision of trunk
Subdivision of trunk proper,Subdivision of trunk
Vasculature of male thorax,Vasculature of thorax
Primary hair,Hair
Surface of right inferior articular process of fourth lumbar vertebra,Surface of inferior articular process of fourth lumbar vertebra
Anterior nerve rootlet complex of right sixth thoracic nerve,Anterior nerve rootlet complex of sixth thoracic nerve
Anterior nerve rootlet complex of left sixth thoracic nerve,Anterior nerve rootlet complex of sixth thoracic nerve
Anterior nerve rootlet complex of left fifth thoracic nerve,Anterior nerve rootlet complex of fifth thoracic nerve
Nerve rootlet complex of peripheral nerve,Nerve rootlet complex
Long thoracic nerve nucleus of spinal cord,Peripheral nerve nucleus
Pelvic segment of left round ligament of uterus,Pelvic segment of round ligament of uterus
Left posterior ethmoidal cell,Posterior ethmoidal sinus
Infraclavicular part of right brachial nerve plexus,Infraclavicular part of brachial nerve plexus
Trunk of left medial circumflex femoral artery,Trunk of medial circumflex femoral artery
Region of nuclear pore complex,Region of cell component
Fourth coccygeal vertebra,Coccygeal vertebra
Muscle fasciculus of masseter,Skeletal muscle fasciculus
Surface of left ulna,Surface of ulna
Lymphatic tree of right areola,Lymphatic tree of areola
Cutaneous lymphatic tree of left breast,Cutaneous lymphatic tree of breast
Lymphatic tree of left nipple,Lymphatic tree of nipple
Lymphatic tree of left areola,Lymphatic tree of areola
Cutaneous lymphatic tree of right breast,Cutaneous lymphatic tree of breast
Belly of left auricularis superior,Belly of auricularis superior
Belly of auricularis anterior,Belly of muscle of head
Belly of right auricularis superior,Belly of auricularis superior
Belly of right auricularis anterior,Belly of auricularis anterior
Compact bone of diaphysis proper of metatarsal bone,Compact bone of diaphysis proper
Surface of hip,Surface of subdivision of pelvic girdle
Corneal vertex,Region of cornea
Subdivision of surface of distal epiphysis of radius,Region of surface of radius
Lumen of medial segmental bronchial tree,Lumen of pulmonary segment of bronchial tree
Wall of apocrine sweat gland proper,Subdivision of apocrine sweat gland
Ascending branch of meningeal branch of left sixth thoracic nerve,Ascending branch of meningeal branch of sixth thoracic nerve
Keratin II,Keratin
Compact bone of left pedicle of lumbar vertebra,Compact bone of pedicle of lumbar vertebra
Belly of right procerus,Belly of procerus
Belly of nasalis,Belly of muscle of head
Belly of right nasalis,Belly of nasalis
Belly of procerus,Belly of muscle of head
Belly of left nasalis,Belly of nasalis
Supporting connective tissue,General anatomical term
Fibular articular facet of lateral condyle of tibia,Subdivision of surface of distal epiphysis of tibia
Spinal branch of dorsal branch of third posterior intercostal artery,Spinal branch of dorsal branch of posterior intercostal artery
Compact bone of medial condyle of femur,Compact bone of zone of distal epiphysis of femur
Cartilage of humerus,Cartilage of long bone
Tunica intima of segment of lymphatic vessel,Tunica intima of lymphatic vessel
Tunica media of supracisternal part of thoracic duct,Tunica media of segment of thoracic duct
Tunica intima of segment of thoracic duct,Tunica intima of segment of lymphatic vessel
Tunica intima of cervical part of thoracic duct,Tunica intima of segment of thoracic duct
Round ligament tributary of right inferior epigastric vein,Round ligament tributary of inferior epigastric vein
Skeleton of fetal head,Embryonic skeleton
Proximal epiphysis of proximal phalanx of left second toe,Proximal epiphysis of proximal phalanx of second toe
Excretory duct of lacrimal gland,Organ segment
Distal contact surface layer of second lower molar tooth,Contact surface layer of second lower molar tooth
Nerve to left extensor digitorum longus,Nerve to extensor digitorum longus
Cardinal tissue part,Postnatal anatomical structure
Fascia of deep transverse perineal muscle,Fascia of muscle
Tibiofemoral joint,Synovial joint of free lower limb segment
Right fetal medial rectus,Fetal medial rectus
Epimysium of right adductor hallucis,Epimysium of adductor hallucis
Taenia coli of ascending colon,Taenia coli of region of large intestine
Plantar surface of right third toe,Plantar surface of third toe
Left fetal digastric muscle,Fetal digastric muscle
Jugular fossa,Subdivision of surface of temporal bone
Fourth sacral spinal nerve nucleus of right dorsal column,Fourth sacral spinal nerve nucleus of dorsal column
Third sacral spinal nerve nucleus of right dorsal column,Third sacral spinal nerve nucleus of dorsal column
Periosteum of right superior articular process of eleventh thoracic vertebra,Periosteum of superior articular process of eleventh thoracic vertebra
Third sacral spinal nerve nucleus of left dorsal column,Third sacral spinal nerve nucleus of dorsal column
Fourth sacral spinal nerve nucleus of dorsal column,Sacral spinal nerve nucleus of dorsal column
Fourth sacral spinal nerve nucleus of left dorsal column,Fourth sacral spinal nerve nucleus of dorsal column
Base of spine of right scapula,Base of spine of scapula
Integument of left lower limb,Integument of lower limb
Perimysium of right piriformis,Perimysium of piriformis
External longitudinal muscle layer of isthmus of uterine tube,Muscle layer of region of uterine tube
Quadrangular membrane proper,Region of organ component
Trabecular bone of diaphysis proper of middle phalanx of left little finger,Trabecular bone of diaphysis proper of middle phalanx of little finger
Trabecular bone of diaphysis proper of middle phalanx of right little finger,Trabecular bone of diaphysis proper of middle phalanx of little finger
Trabecular bone of diaphysis proper of distal phalanx of right little finger,Trabecular bone of diaphysis proper of distal phalanx of little finger
Trabecular bone of diaphysis proper of distal phalanx of little finger,Trabecular bone of diaphysis proper of phalanx of little finger
Trabecular bone of diaphysis proper of distal phalanx of left little finger,Trabecular bone of diaphysis proper of distal phalanx of little finger
Posterior segmental vein,Segmental pulmonary vein
Left inferior costal facet of body of seventh thoracic vertebra,Inferior costal facet of body of seventh thoracic vertebra
Posterior lateral choroidal artery,Branch of posterior choroidal artery
Cytoplasmic nucleosome,Nucleosome
Bony part of distal epiphysis of distal phalanx of right middle finger,Bony part of distal epiphysis of distal phalanx of middle finger
Brodmann area 9 of medial frontal gyrus,Segment of Brodmann area 9
Gray matter of right paraterminal gyrus,Gray matter of paraterminal gyrus
Brodmann area 9 of right medial frontal gyrus,Brodmann area 9 of medial frontal gyrus
Gray matter of paraterminal gyrus,Gray matter of gyrus of limbic lobe
Gray matter of left paraterminal gyrus,Gray matter of paraterminal gyrus
Right ophthalmic artery,Ophthalmic artery
Left utriculosaccular duct,Utriculosaccular duct
Nucleus ambiguus,Nucleus of cranial nerve
Articular cartilage of inferior articular process of sixth thoracic vertebra,Articular cartilage of inferior articular process of thoracic vertebra
C1 segment of lateral corticospinal tract,Cervical subsegment of lateral corticospinal tract
C4 segment of lateral corticospinal tract,Cervical subsegment of lateral corticospinal tract
C3 segment of lateral corticospinal tract,Cervical subsegment of lateral corticospinal tract
C2 segment of lateral corticospinal tract,Cervical subsegment of lateral corticospinal tract
Sacral subsegment of lateral corticospinal tract,Vertebral segment of lateral corticospinal tract
Basilar venous plexus,Venous plexus
Submucosa of medial basal segmental bronchus,Submucosa of basal segmental bronchus
White communicating ramus of thoracic anterior ramus,White communicating ramus
Intermediate layer of nail of third toe,Intermediate layer of nail of toe
Branch of posterior auricular nerve,Branch of facial nerve
Lingual cusp of upper second premolar tooth,Cusp of upper second premolar tooth
Trunk of lobar vein,Trunk of intrapulmonary vein
Nerve to right ankle joint,Nerve to ankle joint
Trunk of branch of penile bulb artery,Trunk of branch of internal pudendal artery
Intermediate third of left calcaneus,Intermediate third of calcaneus
Cavity of fifth lumbar vertebra,Cavity of lumbar vertebra
Synovial fluid of left T12-L1 vertebral arch joint,Synovial fluid of T12-L1 vertebral arch joint
Lobule III of left hemisphere of cerebellum,Lobule III of hemisphere of cerebellum
Lobule II of left hemisphere of cerebellum,Lobule II of hemisphere of cerebellum
Lobule III of hemisphere of cerebellum,Lobule of hemisphere of cerebellum
Lobule III of right hemisphere of cerebellum,Lobule III of hemisphere of cerebellum
Skin of plantar part of big toe,Skin of plantar part of toe
Wall of lacrimal canaliculus,Region of wall of lacrimal duct
Perimysium of right levator anguli oris,Perimysium of levator anguli oris
Tendon of right brachialis,Tendon of brachialis
Deep branch of supra-orbital artery,Branch of supra-orbital artery
Lateral branch of posterior ramus of eleventh thoracic nerve,Lateral branch of posterior ramus of thoracic nerve
Left central dorsal nucleus,Central dorsal nucleus
Trabecular bone of proximal phalanx of left big toe,Trabecular bone of proximal phalanx of big toe
Subcollicular part of prostatic urethra,Segment of prostatic urethra
Principal part of tail of spermatozoon,Zone of tail of spermatozoon
Rostral interstitial nucleus of medial longitudinal fasciculus,Nucleus of midbrain tegmentum
Surface proper of anterior part of elbow,Subdivision of anterior surface of elbow
Stroma of peri-urethral zone of prostate,Region of prostatic stroma
Periosteum of inferior articular process of fourth cervical vertebra,Periosteum of fourth cervical vertebra
Connective tissue of serosa of cecum,Connective tissue of region of visceral peritoneum
Connective tissue of serosa of colon,Connective tissue of region of visceral peritoneum
Connective tissue of serosa of appendix,Connective tissue of region of visceral peritoneum
Connective tissue of serosa of descending colon,Connective tissue of region of visceral peritoneum
Connective tissue of serosa of transverse colon,Connective tissue of region of visceral peritoneum
Left transverse process proper of seventh cervical vertebra,Transverse process proper of seventh cervical vertebra
Vasculature of C3 segment of spinal cord,Vasculature of cervical subsegment of spinal cord
Vasculature of C1 segment of spinal cord,Vasculature of cervical subsegment of spinal cord
Vasculature of C4 segment of spinal cord,Vasculature of cervical subsegment of spinal cord
Vasculature of C2 segment of spinal cord,Vasculature of cervical subsegment of spinal cord
Vasculature of sacral subsegment of spinal cord,Vasculature of subsegment of spinal cord
Posterior margin of foramen magnum rim of occipital bone,Anatomical line of occipital bone
Distal interphalangeal joint of left second toe,Distal interphalangeal joint of second toe
Epiphyseal plate of metatarsal bone,Hyaline cartilage of metatarsal bone
C4 branch to levator scapulae,Muscular branch of anterior ramus of fourth cervical nerve
Right first thoracic ganglion,First thoracic ganglion
Right second thoracic ganglion,Second thoracic ganglion
Left second thoracic ganglion,Second thoracic ganglion
Left first thoracic ganglion,First thoracic ganglion
Right infratemporal fossa,Infratemporal fossa
Surface of distal epiphysis of right first metacarpal bone,Surface of distal epiphysis of first metacarpal bone
Trunk of superior thoracic artery,Trunk of region of axillary artery
Lateral branch of posterior ramus of left fifth lumbar nerve,Lateral branch of posterior ramus of fifth lumbar nerve
Serosa of appendix,Serosa of segment of large intestine
Minor calyx,Renal calyx
Right posterior auricular groove,Posterior auricular groove
Internal surface of anterior wall of sigmoid colon,Internal surface of region of wall of large intestine
Left palatopharyngeal ridge,Palatopharyngeal ridge
Epithelium proper of small intestine,Region of epithelium of small intestine
Lateral part of trunk of dorsal digital artery of left fifth toe,Lateral part of trunk of dorsal digital artery of fifth toe
Adventitia of deferent duct proper,Adventitia of region of deferent duct
Posterior suboccipital muscle,Deep postvertebral muscle
Trunk of communicating branch of femoral branch of left genitofemoral nerve with intermediate femoral cutaneous nerve,Trunk of communicating branch of femoral branch of genitofemoral nerve with intermediate femoral cutaneous nerve
Cochlear turn,Subdivision of cochlea
Compressor urethrae,Deep perineal muscle
Distal zone of left semimembranosus,Distal zone of semimembranosus
Distal zone of right semimembranosus,Distal zone of semimembranosus
Distal zone of semimembranosus,Zone of semimembranosus
Distal zone of left semitendinosus,Distal zone of semitendinosus
Superior segmental bronchial vein,Segmental bronchial vein
Ligament of right tarsometatarsal joint,Ligament of tarsometatarsal joint
Tendon of right subscapularis,Tendon of subscapularis
Perimysium of temporalis,Fascia of temporalis
Compact bone of distal metaphysis of right first metatarsal bone,Compact bone of distal metaphysis of first metatarsal bone
Medial dorsal digital branch of ulnar nerve to left middle finger,Medial dorsal digital branch of ulnar nerve to middle finger
Lumen of pharyngotympanic tube,Organ cavity
Lateral process of malleus,Process of malleus
Periosteum of triquetral,Periosteum of carpal bone
