Child,Parent
Forum of Paestum,forum
Lake Tana,lake
Lake Tana,coast
San Giacomo di Rialto,church-2
San Giacomo di Rialto,church
Torraccio a Poggio Moiano,tomb
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,quarry
Achaimeneis,unlocated
Ad Cisternas,unlocated
Afas Laminie,unlocated
Agarsel,unlocated
Amantes Garamantes/ Amantes,unlocated
Amantes Garamantes/ Amantes,people
Ammonos,unlocated
Amougkla,unlocated
Anacutas,unlocated
Arnum,unlocated
Azouis,unlocated
Boinag/ Boin,unlocated
Boutta,unlocated
Chosol,unlocated
Chouzis/Chouchis,unlocated
Chouzis/Chouchis,settlement
Dissio Aqua Amara,unlocated
Dourga,unlocated
Esuba,unlocated
Flacci Taberna,unlocated
Galin(...),unlocated
Galybe,unlocated
Geir (river),unlocated
Geir (river),river
Giglion Oros,unlocated
Girrei/Geirei,unlocated
Girrei/Geirei,people
Gurubi,unlocated
Hares/Haribus/Har/Phoar,unlocated
Hares/Haribus/Har/Phoar,settlement-modern
Hyeruzerian,unlocated
Ifuraces,unlocated
Ifuraces,people
Macares/Macae,unlocated
Machyles/Macae,unlocated
Mahatanhur,unlocated
Mecales,unlocated
Mouchthousioi/Muctuniana Manus,unlocated
Mousti Kome,unlocated
Moutourgoures,unlocated
Moutourgoures,people
Musula,unlocated
Nalad,unlocated
Nathabres,unlocated
Nathabres,people
Nigitimoi,unlocated
Ogiplonsioi/Sigiplousioi,unlocated
Putea,unlocated
Puteo,unlocated
Rufini Taberna,unlocated
Secedi,unlocated
Silcadenit,unlocated
Silvacae,unlocated
Silvaizan,unlocated
Sintai,unlocated
Soumoukis,unlocated
Syddenis,unlocated
Sykapha,unlocated
Tacapitani,unlocated
Tege,unlocated
Theriodes,unlocated
Thizibi Oros,unlocated
Tinzimedo,unlocated
Uchium,unlocated
Veri,unlocated
Zarath,settlement
el-Abiad,cemetery
Baracum?,settlement
Bir Baghira,settlement
Bir esc-Sciueref,settlement
Brech,cemetery
el-Charaig,settlement
Chlef,settlement
Dedris?,settlement
ed-Disa,cemetery
Dugial,cemetery
Fauces Garamanticae,oasis
Fauces Garamanticae,valley
el-Fgeg,cemetery
Garama Metropolis,settlement
Garamantes,people
Gasr Abudrina,settlement
Gasr Bendbeia,cemetery
Gasr el-Uatuat,cemetery
Gasr esc-Sceraba,settlement
Gasr Mara,settlement
Gelah,settlement
Germa Necropoleis,cemetery
el-Gheraia,cemetery
Goddua,settlement
el-Grefa,cemetery
el-Gser,cemetery
el-Hamra,cemetery
el-Hassi,well
el-Hattia,cemetery
Hun,settlement
el-Kissan,well
Lecksair,settlement
Murzuch,settlement
Niger (mountain),mountain
Niger (mountain),label
er-Rugheba,cemetery
Sabae,settlement
Saniat Ben Howedi,cemetery
Saniat Gebril,settlement
Saniat Suleiman Craida,settlement
Socna,settlement
es-Spetaf,cemetery
Tag'lit,cemetery
et-Tanahma,cemetery
Techertiba,cemetery
Terbu,cemetery
Tesaua,settlement
Tin Abunda,cemetery
Tinda,settlement
Tmessa,settlement
Traghen,settlement
Tuasc,cemetery
Tuiua,cemetery
Ubari,settlement
Waddan,settlement
Zinchecra,settlement
Zuaya,cemetery
Zuila,settlement
Aethiopes,unlocated
Agisymba,unlocated
Balla,unlocated
Bedeiron,unlocated
Boin/Boinag,unlocated
Boouata,unlocated
Bubeium,people
Buluba/Bulba,unlocated
Cizania/Zizania,unlocated
Dasibari (river),unlocated
Dasibari (river),river
Enipi,people
Galsa/Galia,unlocated
Gelanos,unlocated
Gyri/Girgiri M.,unlocated
Halasit/ Alasit,unlocated
Harmiai,unlocated
Maxalla,unlocated
Milgis Gemella,unlocated
Nathabur (river),unlocated
Nathabur (river),river
Niteris natio/Niciebres,unlocated
Nitibrum,unlocated
Ouanias,unlocated
Pege,unlocated
Rapsa,unlocated
Tabudium,unlocated
Tamiagi natio,unlocated
Thapsagum,unlocated
Thelge,unlocated
Thoumelitha,unlocated
Thuben,unlocated
Troglodytae,unlocated
Viscera natio,unlocated
Abd el-Firan,settlement
Ad Ficum,station
Ad Palmam,station
Ad Puteum,station
Ad Speluncas,station
Ad Turrem,station
Ammoniou Pegai,station
Anabucis,station
Annesel,station
Antidrepanon Akroterion,cape
Arae Philaenorum,settlement
Arae Philaenorum Pr.,cape
Aspis,settlement
Aspis,settlement-modern
Astiagi/Dysopon,station
Astrochonda,station
‘Aubereo’/Ad Capsum Ultimum,station
Aulazon,station
Austuriani,label
Austuriani,people
Automalax,settlement
‘Auxiu’,station
Banadedari,station
Beniet el-Hadid,villa
Bir el-Hubayah,settlement
Bir el-Manfuchia,settlement
Bir en-Nagdiyah,settlement
Bir esc-Sciueref,villa
Bir Majdubiyah,settlement
Bir Qarinah,settlement
Bir Sahbiyah,settlement
Bir Tuwaysay,settlement
Bir Umm el-Garanigh,fort
Bir Zayden,settlement
Boreum,settlement
Chakchakiya,settlement
Charax/(I)Scina,settlement
Dafni,villa
Digdida Selorum,settlement
Eperos,station
Euphranta/Macomades,settlement
el-Faschia,villa
Fines Africae et Cyrenensium,monument
el-Garrusc,temple
Gasr ed-Dubban,villa
Gasr el-Atallat,fort
Gasr el-Brega,villa
Gasr Sidi Hassan,villa
Herakleion Akroterion,unknown
Henchir Bu Zahia,villa
Hippou Akra,station
Jabiat Escout,settlement
el-Kheil,settlement
Kozynthion Akra,cape
Kozynthion Akra,settlement-modern
Krokodeilos,station
Kumm ed-Deba,settlement
el-Magedubia,villa
Magen Ali Lubaz,settlement
Magen el-Kanshiya,villa
Maia (island),island
Makatoutai,people
Maketai?,labeled feature
Maketai?,label
Marada,settlement
Mendrion,station
Misynos/Skopelites (island),island
Misynos/Skopelites (island),label
‘Muducivvi’,label
‘Muducivvi’,people
Pontia (island),archipelago
Pontia (island),island
Praetorium,settlement
Psylli,label
Psylli,people
Putea Nigrorum,station
Quarrush,temple
er-Rumia,villa
Seli,label
Seli,people
es-Semat,villa
es-Snemat,villa
Syrtica,region
Syrtica,label
Tagrifet,settlement
Tautamei?,label
Tautamei?,people
Tincausari,station
Tiniodiri,station
Tramaricio,station
Tritonis? L.,lake
Tugulus,fort
Turris et Taberna,station
Umm el-Gbur,settlement
Zacazama,settlement
Zamucii,label
Zamucii,people
Zure,settlement
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Unnamed villa,villa
Chosol,unlocated
Greisa,unlocated
Musula,unlocated
Ouddita,unlocated
Ursiliani/Urceliana Manus,unlocated
Agabis,settlement
Ain Zeina,settlement
Amastor,station
Ampalaontes?,settlement
Ampalaontes?,settlement-modern
Apollonia/Sozousa,port
Aptouchou Hieron?,settlement
Araraukeles?,label
Araraukeles?,people
el-Ardam,cemetery
Arsinoe/Taucheira,settlement
Artamis?,settlement
Asby(s)tai,unknown
Aslaia,tomb
Attici/Phenica,station
Augila,settlement
Augilai,label
Augilai,people
Auschisai?,label
Auschisai?,people
Ausigda?,settlement
Aziris,settlement
Bakales?,label
Bakales?,people
Balagrae,settlement
Barke,settlement
Barkitai,label
Barkitai,people
Beit Tamer,settlement
el-Belgas,settlement
el-Benia,fort
el-Bent,villa
Berenice,settlement
Berenice,port
Bersis,settlement
Bir Tarakenet,tomb
Boreion (promontory),cape
Bratis,settlement
Bu Darag,temple
el-Buerat,settlement
Buma,settlement
Callis,station
Chairekla,settlement
Chaminos,station
Chaulan,settlement
Cherronesos,unknown
Chersis,station
Chersis,settlement
Chersonesos Akra,unknown
Chorotus/Noetu?,station
Coefia,villa
Corniclanum,settlement
Cyrenaica (region),region
Cyrene,settlement
Darnis,settlement
Dionysos,settlement
Drepanon (station),station
Errazen,settlement
Erythron,settlement
Euesperides,settlement
Euesperides,archaeological-site
Faidia,settlement
el-Farzuga,villa
Gabu Iunes,settlement
Gariat Sidi Omran,villa
el-Garib,settlement
Gasr ar-Rakam,sanctuary
Gasr Bandes,settlement
Gasr Beni Gdem,settlement
Gasr Bu Zayd,temple
Gasr el-Gatres,church
Gasr el-Hammam,villa
Gasr el-Heneia,fort
Gasr en-Nfeil,villa
Gasr esc-Sahabi,fort
Gasr esc-Sciaden,fort
Gasr et-Tuil,villa
Gasr Galida,villa
Gasr Gebra,settlement
Gasr Khuraybah,settlement
Gasr Mismar,settlement
Gasr Raqiq,settlement
Gasr Sciza,settlement
Gasr Silina,villa
Gasr Suwayrah,villa
Gasr Tecasis,fort
Gasr Uscisc,fort
Gasr Zagret,villa
Gasr Zeitun,temple
Gfonta,settlement
Ghemines,villa
Gialo,settlement
Gicherra,settlement
Gnade?,label
el-Gubba,settlement
Hadrianopolis/Kaukalou Kome?,settlement
Herakleioi Thines,people
Hesperidum Horti,unknown
Hippon,station
Hydrax?,settlement
Hyphaloi (islands),archipelago
Hyphaloi (islands),label
Kainon,station
Kainopolis,settlement
Laia/Aphrodites Nesos,label
Lasamices?,settlement
Lathon/Leton (river),river
Lesanikoi,label
Lesanikoi,people
Libyarchai,label
Libyarchai,people
Limnias?,settlement
Ma(ra)ndis?,settlement
Maraua,settlement
el-Marazig,settlement
Martuba,settlement
el-Mechili,settlement
Medinet Bu Hindi,settlement
Medinet Bu Hindi,archaeological-site
Mgarnes,settlement
el-Mtaugat,settlement
Myrsinitis (river),river
Nasamones,people
Naustathmos,settlement
Naustathmos Limen,unknown
Neapolis Theodorias,settlement
Nigize?,label
Nigize?,people
Paliouros,settlement
Pentapolis,region
Pentapolis,label
Phaia,settlement
Phykous,settlement
Phykous Akron,cape
Plateia,settlement
Plateia? (island),island
Plateia? (island),label
Priscu Taberna,station
Pseudopenias Pr.,cape
Ptolemais/Barkes Limen,settlement
Ptolemais/Barkes Limen,port
Ptolemais/Barkes Limen,archaeological-site
Refaa,settlement
Ruus el-Aslab,temple
Safsaf,settlement
Safsaf,settlement-modern
Esc-Sceleidima,fort
Semeros,station
Serapeion,temple-2
Sheneishen,settlement
Sidi Aamer,settlement
Sidi Akreim,settlement
Sidi Mohamed el-Homri,settlement
Sira,settlement
Siret Ain Relles,settlement
Slonta,monument
Snibat el-Awila,cemetery
Soluk,settlement
et-Tailimun,fort
Tansoluch,settlement
Taurguni,settlement
Tert,settlement
Theotimaion,station
Tritonis? Palus,lake
Wadi Morgus,settlement
Wadi Senab,temple
ez-Zauani,settlement
Zau Taberna?,station
Zaviet el-Gsur,villa
Zaviet Ennablu,settlement
Zaviet Msus,fort
Zephyrion Akron,cape
Untitled,aqueduct
Untitled,aqueduct
Untitled,aqueduct
Gasr Silu,fort-2
Gasr Silu,church-2
Gasr Silu,settlement
Gasr Silu,archaeological-site
Untitled,numbered feature
Untitled,settlement
Untitled,settlement
Gasr Umm esc-Scegiar,villa
Narbek,church-2
el-Mneitika/Siret el-Manatika,settlement
Shehriz,settlement
Gasr Nauara,villa
Siret el-Giamel/Gasrin di Beida,church
Sciunia,villa
Sidi Said,church
Siret er-Rcheim,church
Gasr Stablous,church
Gasr Tectana,villa
Gerdes el-Gerrari,settlement
Gasr el-Ariga/el-Arigia,villa
Gasr er-Remtiet,fort
Gasr el-Maragh,fort
Umm Heneia/Umm Henia el-Garbia/Esc-Shergia,settlement
Bertelles,church-2
Bertelles,basilica
Bertelles,ruin
Untitled,numbered feature
Untitled,church
Untitled,numbered feature
Untitled,settlement
Untitled,numbered feature
Untitled,settlement
Qasr Wurtij,fort-2
Untitled,numbered feature
Untitled,settlement
Siret el-Craat,church
Untitled,numbered feature
Untitled,settlement
Untitled,numbered feature
Untitled,church
Untitled,temple
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Cyrene - Apollonia Road,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Untitled,road
Abathouba,unlocated
Agriolode,unlocated
Alibaka,unlocated
Alo,unlocated
Ampelos,unlocated
Apios,unlocated
Apis,unlocated
Aprositi,unlocated
Arankai,unlocated
Archile,unlocated
Asarakai,unlocated
Asusamus,unlocated
Auritina,unlocated
Ausees,unlocated
Axomis,unlocated
Bassachis regio,unlocated
Billa,unlocated
Cherronesos,unlocated
Cleopatra,unlocated
Diarroia,unlocated
Diarroia Limen,unlocated
Dinarthison,unlocated
Dioskoron,unlocated
Disthis,unlocated
Echinos Kome,unlocated
Eraga,unlocated
Euschoinon,unlocated
Gaphara,unlocated
Gareathis regio,unlocated
Halai,unlocated
Kelida,unlocated
Leukai Kaminoi,unlocated
Leukai Napai,unlocated
Leukoe,unlocated
Magrou Topos,unlocated
Marabina,unlocated
Maranthis Kome,unlocated
Masadalis,unlocated
Masouchis,unlocated
Mazakila,unlocated
Memnocones,unlocated
Migo,unlocated
Mokcheris,unlocated
Myrmex (island),unlocated
Myrmex (island),island
Neapolis,unlocated
Ouelpa M.,unlocated
Palaebisca,unlocated
Phalakra,unlocated
Philonos Kome,unlocated
Pithos,unlocated
Rhinia,unlocated
Saragina,unlocated
Septimiake regio,unlocated
Takaphoris,unlocated
Thintis,unlocated
Zemythos,unlocated
Zenertis,unlocated
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,settlement
Unnamed Place,settlement
Unnamed Place,settlement
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Unnamed Place,villa
Acerrae,settlement
Addua (river),river
Ad Figlinas,station
Ad Fines,station
Ad Fines,settlement-modern
Ad Flexum/Sermione Mansio,station
Ad Flexum/Sermione Mansio,settlement-modern
Ad Fonteclos,station
Ad IX,station
Ad Monilia,station
Ad Navalia,station
Ad Padum,station
Ad Rota(s),station
Ad Solaria,station
Ad Tarum,station
Ad VIII,station
Ad X,station
Ad X,station
Ad X,settlement-modern
Agunia (river),river
Alba Docilia,station
Alba Docilia,archaeological-site
Alba Pompeia,settlement
Aliana,unknown
Amalune (river),river
Anamares,label
Anamares,people
Andes,settlement
Anesiates,label
Anesiates,people
Antion,station
Aquae Statiellae,settlement
Argentea,station
Ari(o)lica,station
Augusta Bagiennorum,settlement
Augusta Praetoria,settlement
Augusta Taurinorum,settlement
Ausuciates,label
Ausuciates,people
Bedriacum,settlement
Belounoi?,label
Belounoi?,people
Benacenses,label
Benacenses,people
Benacus (lake),lake
Beneventum,station
Bergomum,settlement
Betuctelum? (river),river
Binbelli?,label
Binbelli?,people
*Boakias (river),river
Bobium,settlement
Bobium,settlement-modern
Bodetia,station
Bodincus (river),river
[Bremtonicum],fort
Bretina,settlement
Brixellum,settlement
Brixellum,settlement-modern
Brixia,settlement
*Bromanenses,label
*Bromanenses,people
[Bugella],settlement
Campi Macri,label
Camunni,label
Camunni,people
Canalicum,station
Carbantia/Ad Medias,station
Carreum Potentia,settlement
Castelletto Ticino,settlement
Cenomani,label
Cenomani,people
Ceresius (lake),lake
Cest(a)e,station
*Civitas Camunnorum,settlement
Clastidium,settlement
Clenna (river),river
Clesus (river),river
Coeba,settlement
[Comacina] (island),island
‘Comeli magus’,station
Comum,settlement
Cremona,settlement
Crixia,station
Cuttiae,station
‘Delphinis’,station
Dertona,settlement
Desenzano,villa
Duria (Bautica) (river),river
Duria (river),river
Durriae,station
Edrani,label
Edrani,people
Entella (river),river
Epanterii?,label
Epanterii?,people
Eporedia,settlement
Eupilis (lake),lake
Fertor (river),river
Fidentia,settlement
Florenti(ol)a,station
Forum Clodi?,settlement
Forum Fulvii Valentinum,settlement
*Forum Germanici,settlement
*Forum Novum,settlement
Forum Novum,settlement
Forum Vibii,settlement
Fundus Ancharianus,villa
Gabellus/*Secia (river),river
Gallianates,label
Gallianates,people
Gennanates,label
Gennanates,people
Genua,settlement
Genua,port
Golasecca,cemetery
Grebia,settlement
Hadra (river),river
Hasta,settlement
Hasta,station
Iadatini,label
Iadatini,people
Iemerii?,label
Iemerii?,people
In Alpe Pennino,station
In Alpe Pennino,pass
Incia (river),river
Industria/Bodincomagum?,settlement
Industria/Bodincomagum?,archaeological-site
Industria/Bodincomagum?,theatre
Industria/Bodincomagum?,temple-2
Insubres,label
Insubres,people
Ioventio Mons,mountain
Ioventio Mons,pass
Iria/Forum Iulii Iriensium,settlement
Ir(i)a (river),river
Iria (river),river
Laevi,label
Laevi,people
Lambrum,station
Lambrus (river),river
Langenses,label
Langenses,people
Langobardi,label
Langobardi,people
Larius/Comacinus L.,lake
Laumellum,fort
Laus Pompeia,settlement
Lepontii,label
Lepontii,people
Leucerae,settlement
Libarna,settlement
Libicii,label
Libicii,people
Licini Forum?,settlement
Liguria (region),region
Litubium,settlement
Maielli?,label
Maielli?,people
Mantua,settlement
Marici,label
Marici,people
Mediolan(i)um,settlement
Mediolan(i)um,urban
Mella (river),river
Mincius (river),river
Minerva Cabardiacensis,sanctuary
Minerva Cabardiacensis,settlement-modern
*Minervium,settlement
Modicia,settlement
Monte Barro,architecturalcomplex
Monte Barro,villa
Monte Barro,archaeological-site
Monte S. Martino,sanctuary
Montunates,label
Montunates,people
Mutina,settlement
Novaria,settlement
Nure (river),river
Ocelum,station
Ollius (river),river
Ollius (river),mouth
Olonna (river),river
Orgus (river),river
Orumbovii,label
Orumbovii,people
Pagus Agaminus,district
Pagus Agaminus,label
Pagus Ambitrebius,label
Pagus Arusnatium,region
Pagus Arusnatium,pagus
Pagus Arusnatium,label
Pagus Farraticanus,region
Pagus Farraticanus,label
Pagus *Fortunensis,pagus
Pagus *Fortunensis,label
Pagus Luras,label
Pagus Salutaris,label
Palazzo Pignano,villa
Parma,settlement
Parma (river),river
Parra,settlement
Pedo(na),settlement
Placentia,settlement
Plinio,villa
Plumbia,settlement
Poggio di Gaggiola,settlement
Pollentia,settlement
Pons Aureoli,station
Pons *Seciae,station
Porcibera (river),river
Portus Delphini,station
Quadrata,station
Regium Lepidum,settlement
Regium Lepidum,amphitheatre
Retovium,settlement
Ricina,station
Rigomagus,station
Riva S. Vitale,church
Rubra,station
Sabini,label
Sabini,people
Salassi,label
Salassi,people
Saltus Berusetis,villa
Saltus Bitunia(e),villa
[S. Iulianus] (island),island
Sarius (river),river
Savo/Vicus Virginis?,settlement
Savo/Vicus Virginis?,port
Sebinnus L.,lake
Sebuinus Vicus,settlement
Segesta Tigulliorum,settlement
Sesites (river),river
[Sesterrio] fl.,river
Sesto Calende,cemetery
Sibrium,settlement
Sibrium,fort
Sirmio,settlement
S. Maria di Minerbe,church-2
S. Maria di Minerbe,sanctuary
Statielli,label
Statielli,people
Stoeni?,label
Stoeni?,people
Stura (river),river
Stura (river),river
Subinates,label
Subinates,people
Tanarus (river),river
Tannetum,settlement
Tarus (river),river
Taurini,label
Taurini,people
Tegulata,station
Tellegate,station
Tetellus,station
Ticinum,settlement
Ticinus (river),river
Tidone (river),river
Transpadana,province
Transpadana,region
Transpadana,label
Trebia (river),river
Tres Tabernae,station
Trident(i)um,settlement
Trump(i)lini,label
Trump(i)lini,people
Tublinates,label
Tublinates,people
Vada Sabatia,settlement
Vardagate,settlement
V(e)iturii,label
V(e)iturii,people
Veleia,settlement
Venisami,label
Venisami,people
Vennum,station
Verbanus (lake),lake
Vercellae,settlement
Verona,settlement
Vertamocori,label
Vettianus Fundus,villa
Victoriolae,station
Victumulae,mine-2
Vicus Baginas,settlement
Vitricium,station
*Vobenenses,label
*Vobenenses,people
Voberna,settlement
Votodrones,label
Votodrones,people
[Vulturina],settlement
Unnamed Roman aqueduct at Eporedia,aqueduct
Untitled,aqueduct
Unnamed aqueduct at Augusta Bagiennorum,aqueduct
Untitled,aqueduct
Unnamed aqueduct at Alba Pompeia,aqueduct
Untitled,aqueduct
Untitled,aqueduct
Untitled,aqueduct
Untitled,aqueduct
Untitled,aqueduct
Untitled,aqueduct
Unnamed bridge at Lévérogne,bridge
Unnamed bridge at Lévérogne,settlement-modern
Roman Bridge of Châtillon,bridge
Untitled,bridge
Pont-Saint-Martin (bridge),bridge
Unnamed bridge at Bard,bridge
Unnamed bridge,bridge
Untitled,bridge
Untitled,bridge
Roman bridge at Clastidium,bridge
Untitled,bridge
Untitled,bridge
Untitled,bridge
Unnamed bridge,bridge
Untitled,bridge
Enza Roman Bridge,bridge
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Centuriation near Pedo(na),centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Untitled,centuriation
Centuriation located near Mutina,centuriation
Untitled,centuriation
Bibola,unlocated
Carystum,unlocated
Carystum,settlement
Corogemates gens,unlocated
Latis (river),unlocated
Latis (river),river
Melpum,unlocated
Melpum,settlement
Nuceria,unlocated
Ouaunia,unlocated
Oxilla,unlocated
Pullion,unlocated
Quadrata,unlocated
Raudii Campi,unlocated
Raudii Campi,plain
Rigonum (river),unlocated
Rigonum (river),river
Scationa,unlocated
Ubartum (river),unlocated
Ubartum (river),river
Umatia (river),unlocated
Umatia (river),river
Abasenoi,people
Abisama,settlement
Sumhuram,settlement
Achoma,settlement
Achomai,people
Actaei,people
Adana,settlement
Adane/Athenae/Eudaimon Arabia,settlement
Adedou Kome,settlement
Adouli,settlement
Adouli,port
Adoulitikos Kolpos,water-open
Adramiton Chora,region
Aethiopia,region
Agathokleous Ins.,island
Agraei,people
Ailou Kome,settlement
Aithiopika (mountain),mountain
Akila/Okelis,settlement
Akila/Okelis,station
Akila/Okelis,settlement-modern
Akila/Okelis,bay
Akme,settlement
Alalaiou (islands),archipelago
Alalaiou (islands),island
Amaitaei,people
Ammoni,people
Ammoniou (promontory),cape
Amnestum,settlement
Anagrana/Negram,ruin
Anagrana/Negram,settlement
Anchitai,people
Apitami,people
Arabicus Sinus/Erythr(ae)um/Rubrum Mare,water-open
Ararene,region
Are,settlement
Aromata Emporion,settlement
Arsinoe,station
Asichon (promontory),cape
Askitai,people
Astapous (river),river
Athroula/Laththa,settlement
Athroula/Laththa,temple-2
Ausara,settlement
Ausaritis,people
A(u)xoume,cultural-landscape
A(u)xoume,settlement
Aualites,station
Aualites,settlement-modern
Aualites Sinus,water-open
Azania,region
Azanium Mare/Barbarikon Pelagos,water-open
Bachylitae,settlement-modern
Bachylitae,people
Badeo,settlement
Baitios,settlement
Bosara,people
Bracheia/Prasodes Thalassa,water-open
Calingi,unknown
Camarum (island),island
Caminacum,settlement
Canauna (region),region
Canon,unknown
Cardava,settlement
Cariati,settlement
Caripeta,ruin
Caripeta,settlement
Casani/Gasani/Kassanitai,people
Cerbani,people
Chardaleon,region
C(h)armei,people
Chelonitis (island),island
Coralis? (river),river
Dacharenoi,people
Debai,people
Deire,settlement
Acelum,settlement
Acelum,theatre
Ad IX,station
Ad XII/Meduacus Maior,station
Dela,settlement
Ad Cerasias,station
Ad Finem,station
Ad Idicem,station
Ad Medias,station
Ad Novas,station
Ad Palatium,station
Ad Portum,station
Ad Rubiconem,station
Ad Sanos,station
Devade (islands),archipelago
Ad Silarum,station
Ad Sinnium,station
Aemilia,region
Aemilia,label
Ager Gallicus,region
Ager Gallicus,label
Altinum,settlement
Altinum,road
Anemo (river),river
Aponus,bath
Aprusa (river),river
Ariminum,settlement
Diosko(u)rides (island),island
Ariminus (river),river
Astagus (river),river
Ateste,settlement
At(h)esis (river),river
Atrianorum Paludes,estuary
Augusta,station
Auraei,station
Bedesis (river),river
Boi(i),label
Boi(i),people
Brinta? (river),river
Brundulum,settlement
Butrium,station
Cadianum,station
Caesena,settlement
Elephas Pr.,cape
Castello del Tartaro,settlement
Castellum,station
[Castrum Cumiacli],settlement
[Castrum Volaenes],settlement
Classis,settlement
Classis,port
Claterna,settlement
Claterna,archaeological-site
Claterna,theatre
[Claterna] fl.,river
Colicaria,station
Compitum ad Confluentes,station
Corniculani,station
Elisaroi,people
Dripsinates,label
Dripsinates,people
*Duplavilis,settlement
[Equilum],settlement
Fabbrica dei Soci,settlement
Faventia,settlement
Felsina/Bononia,settlement
[Feraria],settlement
Fondo Paviani,settlement
Forum Cornelii,settlement
Forum Gallorum,settlement
Forum Livii,settlement
Forum Popilii,settlement
Forum Popilii,settlement-modern
Fossis,station
Ethraui,unknown
Frattesina,settlement
*Hadriani,station
(H)Atria,settlement
[(H)Eraclia],settlement
Hostilia,station
Idex (river),river
Iulia Concordia,settlement
Iulia Concordia,archaeological-site
Ligeris,settlement
Lavinius? (river),river
Lingones,people
Liquentia (river),river
Kainua,settlement
Kainua,archaeological-site
Exusta/Katakekaumene (islands),archipelago
Exusta/Katakekaumene (islands),island
Meduacus Maior (river),river
Meduacus Minor,station
Meduacus Minor (river),river
Misquilenses,label
Misquilenses,people
Mons Silicis,settlement
Montagnana,station
*Neronia,station
Opitergium,settlement
Ostium Caprasiae,river
Ostium Carbonaria,river
Ostium Eridanum/Ostium Spineticum,river
Ostium Eridanum/Ostium Spineticum,mouth
Ostium Fossiones,river
Ostium Philistina,unknown
Ostium Sagis,river
Ostium Volane,river
Padus/Eridanus (river),river
Gedranitae?,people
Padusa,marsh-wetland
Padusa,river
Pagus Disaenius,pagus
Pagus Disaenius,label
Paludes Tartari,marsh-wetland
Patavium,settlement
Plavis (river),river
Portus Edronis,station
Portus Liquentiae,settlement
Portus Liquentiae,port
Portus Reatinus,settlement
Ravenna,settlement
Reatinum (river),river
Retron (river),river
Rhenus (river),river
Rubico (river),river
Russi Roman Villa,villa
Sabis,station
Sacis ad Padum,station
Hippalon Pelagos,water-open
Sapis (river),river
Sarnis,station
Scultenna (river),river
Septem Maria (Station),station
Septem Maria (Po River Delta),salt-marsh
Silarus (river),river
Silis (river),river
Sinnius (river),river
Spina,settlement
Spina,port
Spina,archaeological-site
Homeritai,people
Tartarus (river),river
Tarvisium,settlement
Togisonus? (river),river
[Torcellum],settlement
Utens (river),river
Vatrenus (river),river
Venetia (region),region
Venetia (region),label
Vicetia,settlement
Vicetia,theatre
[Vicus Aventia],settlement
Vicus Serninus,station
Vicus Varianus,station
Montone (river),river
Indicum Mare,water-open
Ioula,settlement
Kane,unknown
Karbai,unknown
Karna,ruin
Karna,settlement
Kebranitai,people
Kinaidokolpitai,people
Kinnamomophoros Chora,region
Kokkonatou (islands),archipelago
Koloe,settlement
Labaetia,settlement
Lathinat,unknown
Laupas,settlement
Laupas,port
Lexianae,people
Libanophoros Chora,region
Lysanitae,unknown
Maipha,settlement
Malangitai,people
Malao,settlement
Malichou islands,archipelago
Malichou islands,island
Mamaeum Litus,coast
Maphoritae,people
Mari(a)ba,ruin
Mari(a)ba,settlement
Mari(a)ba,tell
Marimatha,ruin
Marimatha,settlement
