Child,Parent
Hannibalis (island),unlocated
Hannibalis (island),island
Helonis/Helo,unlocated
Hyops,unlocated
Ibe/Ide,unlocated
Icositani,unlocated
Ilarkouris,unlocated
Ileosca,unlocated
Ilourbida,unlocated
Ispinon,unlocated
Istonion,unlocated
Kallikoula,unlocated
Karka,unlocated
Kerouaria,unlocated
Krabrasia,unlocated
Laccuris,unlocated
Lassira/Lersensis Res Publicae,unlocated
Lauro,unlocated
Laxta,unlocated
Libana,unlocated
Lobeton,unlocated
Lobeton,settlement-modern
Loupparia,unlocated
Lyco,unlocated
Martium Ucia/Ucia,unlocated
Mastia/Massia,unlocated
Mediolon,unlocated
Mellaria,unlocated
Menariae,archipelago
Menariae,unlocated
Meterkosa,unlocated
Molybdina,unlocated
Nobila,unlocated
Oinoussa,unlocated
Orkelis,unlocated
Ouarada/Varciliens(...),unlocated
Ourkesa,unlocated
Pallantia (river),unlocated
Pallantia (river),river
Paterniana,unlocated
Plumbaria,island
Poukialia,unlocated
Ripa,unlocated
"S. Martini, Mon.",unlocated
"S. Martini, Mon.",monastery
Saitabikoula,unlocated
Salaria Bastetana/Salaria,settlement
Salduba,settlement
Salduba (river),river
Soricaria,unlocated
Sucaelo/Siccaenum,unlocated
Tiquadra,unlocated
Tiquadra,island
Tourboula,unlocated
Ulissi/Ulisi/Odyssea,unlocated
Urbiaca,unlocated
Urbiaca,settlement
Urgapa,unlocated
Valebonga,unlocated
Vescelia,unlocated
Alebus,river
Barbetium Iugum,unlocated
Barbetium Iugum,lighthouse
Berybraces,people
Crabrasiae Iugum,unlocated
Gymnetes,people
Herna,settlement
Hiberi,unlocated
Hiberi,people
Hylactes Civitas,settlement
Hystra Civitas,settlement
Ilerda,unlocated
Ilerda,settlement
Ilerda,settlement-modern
Libyphoenices,unlocated
Libyphoenices,people
Malacha/Malaca,unlocated
Malachae,river
Massiena Urbs,unlocated
Massiena Urbs,settlement
Massieni,people
Menace,unlocated
Minervae,island
Naccararum Palus,unlocated
Namnatius Portus,unlocated
Namnatius Portus,port
Noctilucae (island),unlocated
Noctilucae (island),island
Phoenices,people
[Pityussa] Iugum/Cautes,unlocated
Sardum Mare,unlocated
Sardum Mare,water-open
Sarna Civitas,settlement
Sicana Civitas,unlocated
Silurus M.,unlocated
Strongyle,island
Theodorus (river),unlocated
Theodorus (river),river
Trete Iugum (promontory),cape
Tyris,settlement
Tyrius,river
Veneris Fanum,unlocated
Veneris Iugum,unlocated
Veneris Iugum,lighthouse
Veneris Iugum,cape
Veneris Litus,unlocated
Abila M.,mountain
el Adeb,settlement
Ad Mercuri?,station
Ad Novas,station
Ad Novas,settlement-modern
Ain Dalia,fort
Ain el Hajaj,fort
Ain el Hammam,bath
Ain Kerma,settlement
Ain Mesbah,villa
Ain Schkour,fort
Ain Skhoun,villa
Ain Taslalet,villa
Aquae Dacicae,bath
Aquila Maior (promontory),cape
Aquila Minor (promontory),cape
Arbaoua,settlement
Asilah,settlement
Asilah,port
Autololes/Autoteles,label
Autololes/Autoteles,people
Banasa,settlement
Banasa,archaeological-site
Baniurae?,label
Baniurae?,people
Baquates,label
Baquates,people
Barbari Pr.,cape
el Benian,fort
Beni Said,fort
Lalla Sfia,fort
Bou Hellou,settlement
Bou Hellou,settlement-modern
Bou Rebaa,fort
Briej,fort
Cephisis,lake
Columnae Herculis,cape
Cottae?,settlement
Dar bel Amri,tower-defensive
Dar bel Amri,defensive-wall
Dar bel Amri,fort-2
Dar Dqios,fort
Dar Sied,villa
Djouima,settlement
Douar Naasa,villa
Emsa,settlement
Ermaia Akra,production
Ermaia Akra,mine
Ferme Biarnay,villa
Ferme Priou,settlement
Fghaina,fort
Frigidae,fort-2
Frigidae,station
el Gaada,fort-2
Gadadra,villa
Gandori,fort
el Gour,tumulus
Hafra Ennaga,villa
Heras? (island),island
Heras? (island),island
Hjar Zerbotta,fort
Jebel bou Draa,fort
Jouima,temple-2
Kaunoi,label
Kaunoi,people
Khedis,settlement
Kitzan,settlement
Kouass,settlement
Koudia Aicha,fort
Koudia bou Mimoun,fort
Koudia es Souma,villa
Koudia Fergana,fort
Krimda,villa
Ksar es Sghir,settlement
Lalla Aicha,fort
Lalla Yto,villa
Lalla Ghannama,villa
Lalla Rhano,tumulus
Laud (river),river
Lixus,settlement
Lixus,archaeological-site
Lixus (river),river
Maatga,villa
Macenites,label
Macenites,people
el Marsa,settlement
Masikes,label
Masikes,people
Mauretania Tingitana (region),region
Mauretania Tingitana (region),label
Maurusii,region
Maurusii,people
Mechra Sfa,villa
Merja Touila,villa
Mestroila,fort
Metagonitai,label
Metagonitai,people
Mezgalef,villa
MM18,settlement
Mogogha,tumulus
Mzora,tumulus
Oppidum Novum,settlement
Oued Akrech,quarry
Oued Bqader,villa
Ouerbikai,label
Ouerbikai,people
Oueroueis,label
Oueroueis,people
Rekada,villa
el Rhorba,fort
Rirha,settlement
er Rmel,settlement
Sala,settlement
Salat (river),river
Salenses,label
Salenses,people
Sania,production
Sebaa Rjel,fort
